Intensity,Wavelength (nm),Element,Literature WL
1.7708405,775.6025326,Ce,
9.396410927,794.5336138,Ne,794.5326638
1.780013198,796.3684814,Ce,
7.972604206,808.4652018,Ne,808.4640853
4.491055344,812.0757212,Ne,812.07418
19.19591101,813.8614771,Ne,813.8602823
2.033791204,817.4304795,Ce,
1.826895882,823.3448702,Ce,
3.681309861,826.1628948,Ne,826.1609635
7.812591568,826.8319838,Ne,826.8309644
37.16369955,830.2580065,Ne,830.2567493
2.226417883,830.381094,Ce,
5.357875399,836.8021103,Ne,836.8005962
7.403387274,837.86293,Ce,
171.0968255,837.9880181,Ne,837.9870565
3.438233338,841.9437638,Ne,841.9433847
33.91197776,842.0711421,Ne,842.0700989
5.578529769,846.5652534,Ne,846.5643224
2.243744092,848.6741252,Ne,848.6734918
132.745771,849.7665025,Ne,849.7654167
3.03667296,854.7015881,Ne,854.7003491
5.518397631,857.3682659,Ne,857.366729
2.956666641,858.5247946,Ce,
74.38039692,859.3588788,Ne,859.3578666
1.798358596,863.6138404,Ce,
68.74530218,863.698968,Ne,863.6978984
11.43071173,864.9385834,Ne,864.9376432
153.8113838,865.6731097,Ne,865.6720415
13.81714225,865.786876,Ne,865.7859622
28.36096609,868.1847425,Ne,868.1836596
32.66092354,868.4274046,Ne,868.4265852
6.466243194,870.6470319,Ne,870.6462345
25.90115398,877.4038041,Ne,877.4025287
5.518907226,878.111595,Ce,
166.0977045,878.300416,Ne,878.2994008
113.9763905,878.6137479,Ne,878.6125554
1.843202903,883.3309915,Ne,883.3292189
81.37254153,885.6269673,Ne,885.625799
9.788289011,886.7712917,Ne,886.7700579
43.27934181,886.8160183,Ne,886.81496
22.23564154,892.192032,Ne,892.1909516
7.632195154,899.0995881,Ne,899.0983966
1.767782933,914.096814,Ce,
54.86904698,915.115132,Ne,915.1142408
53.06814041,920.4253448,Ne,920.4244246
32.80564834,922.255962,Ne,922.2550189
10.93997233,922.4078402,Ne,922.4070599
1.918113278,922.8809392,Ce,
9.203784248,922.9191161,Ne,922.9182179
6.496818857,927.8034376,Ne,927.8024667
2.725820383,929.0079002,Ne,929.0071319
47.72708163,930.3375677,Ne,930.3364608
5.008803243,931.3112236,Ne,931.3098437
17.17740764,931.6494687,Ne,931.6488052
50.01668922,932.9034433,Ne,932.9025637
2.421592533,934.0388699,Ce,
1.782051576,936.7465139,Ce,
10.41967646,937.5844517,Ne,937.5839277
2.031243232,941.1290288,Ce,
38.10593958,942.7933572,Ne,942.792434
20.07750931,946.1771643,Ne,946.1764176
59.26429858,948.9253891,Ne,948.9243896
51.19181388,953.6747657,Ne,953.6737819
21.84070589,954.9992511,Ne,954.9983396
2.277886916,957.962677,Ne,957.9599492
191.0561089,966.8037734,Ne,966.8030068
1.954294479,998.9686817,Ce,
7.313189067,1029.820617,Ne,1029.819791
2.746713753,1033.933381,Ce,
90.50549215,1056.526719,Ne,1056.526012
13.59750706,1062.35383,Ce,
2.040925525,1066.190911,Ce,
76.19812011,1080.096571,Ne,1080.095916
180.9289396,1084.74102,Ne,1084.7406
616.1276432,1114.603473,Ne,1114.602943
2.492935748,1116.323912,Ce,
