Intensity,Wavelength (nm),Element
7700,691.31336,Th 
3200,694.55261,Th 
55600,696.73522,Ar 
6400,699.15828,Th 
1100,700.27343,Th 
2400,702.05028,Th 
510,706.26015,Th 
53400,706.916677,Ar 
2300,708.61222,Th 
1440,712.65244,Th 
7500,714.90118,Ar 
340,715.05297,Th 
750,715.22557,Th 
5300,717.087088,Th 
380,717.5349,Th 
420,720.20289,Th 
220,720.84682,Th 
700,720.89677,Ar 
2430,720.999267,Th 
570,721.46773,Th 
1050,722.00433,Th 
370,722.11405,Th 
330,724.40878,Th 
330,724.66927,Th 
120,726.01771,Th 
17000,727.493998,Ar 
830,728.69105,Th 
460,731.37319,Ar 
150,732.68256,Th 
670,733.03039,Th 
490,734.31739,Th 
860,735.53193,Ar 
2500,737.41496,Ar 
270,737.89088,Th 
170,738.57444,Th 
84100,738.601455,Ar 
230,738.62093,Th 
2040,738.753482,Th 
260,739.50163,Ar 
170,739.54744,Th 
400,740.42909,Th 
210,741.43786,Ar 
70,741.98333,Th 
250,742.05932,Th 
1460,743.098645,Th 
630,743.229952,Th 
600,743.7416,Ar 
160,743.8345,Ar 
280,744.67992,Th 
204,744.99,Th 
73,745.72599,Th 
200,747.32202,Ar 
730,748.341448,Th 
340,748.56864,Th 
270,748.63881,Ar 
134,749.00357,Th 
60,750.10694,Th 
126000,750.593528,Ar 
97,751.05466,Th 
118,751.38582,Th 
89800,751.672113,Ar 
109,752.52063,Th 
246,752.75805,Th
53,753.32175,Th 
620,755.139209,Th 
61,756.7935,Th 
128,756.96813,Th 
1520,756.982502,Th 
139,757.15953,Th 
750,758.778311,Th 
1430,758.788017,Th 
151,760.02969,Th 
238,760.99172,Th 
101,762.21746,Th 
32,762.72184,Th 
304,762.78042,Th 
600,762.927419,Th 
324,763.24108,Th 
47,763.26378,Th 
47,763.42337,Th 
146900,763.720747,Ar 
230,763.82763,Th 
80,763.94874,Th 
83,764.08836,Th 
2560,764.948431,Th 
57,765.3854,Th 
160,765.44262,Th 
340,765.59351,Th 
104,765.68071,Th 
290,766.04324,Th 
167,766.29987,Th 
46,766.86783,Th 
150,767.21696,Ar 
360,768.023981,Th 
96,768.7422,Th
42,769.38875,Th   
52,769.59175,Th 
74,770.00425,Th 
45,770.15224,Th 
39,770.18989,Th 
51,770.58067,Th 
297,771.23911,Th 
88,771.60611,Th 
76,772.33268,Th 
60800,772.588696,Ar 
69900,772.633307,Ar 
231,773.10778,Th 
56,773.38661,Th
117,774.46933,Th 
133,777.40849,Th 
38,777.88119,Th 
43,778.06321,Th 
217,778.4458,Th   
53,778.97956,Th 
49,778.99435,Th
1370,779.107739,Th 
600,780.050358,Th 
31,780.66784,Th 
40,781.27745,Th 
2570,781.992103,Th 
48,783.66129,Th
44,783.77768,Th 
69,783.86149,Th 
190,784.2455,Th 
90,784.2615,Th 
420,784.394871,Th 
90,784.44229,Th 
35,784.96558,Th 
2740,784.969848,Th 
109,784.99611,Th 
159,785.06142,Th 
72,786.61856,Th 
630,786.813398,Th 
160,787.03596,Ar 
540,788.845262,Th 
660,789.32461,Ar 
170,790.17963,Th   
328,790.249355,Th 
28,790.66079,Th 
259,793.99169,Th 
370,794.39105,Th 
108600,795.036284,Ar 
161,795.67806,Th 
40,796.33496,Th 
26,796.35516,Th 
28,796.4174,Th 
